mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
14	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	205						
14	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	206						
14	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	207						
14	13	25	25	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	208						
14	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	209						
14	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	210						
14	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	211						
14	13	26	26	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	212						
14	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	213						
14	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	214						
14	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	215						
15	14	27	27	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	216						
15	14	28	28	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	217						
15	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	218						
15	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	219						
15	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	220						
15	14	27	27	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	221						
15	14	109/4	109/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	222						
15	14	55/2	55/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	223						
15	14	111/4	111/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	224						
15	14	28	28	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	225						
15	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	226						
15	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	227						
15	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	228						
16	15	29	29	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	229						
16	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	230						
16	15	30	30	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	231						
16	15	121/4	121/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	232						
16	15	61/2	61/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	233						
16	15	123/4	123/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	234						
16	15	29	29	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	235						
16	15	117/4	117/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	236						
16	15	59/2	59/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	237						
16	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	238						
16	15	30	30	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	239						
16	15	121/4	121/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	240						
16	15	61/2	61/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	241						
16	15	123/4	123/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	242						
17	16	31	31	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	243						
17	16	31	31	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	244						
